academic_year,semester,school,jae_course_code,course_name,gender,intake
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,F,46
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,F,32
2016,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,F,17
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,M,12
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,M,49
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,M,56
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,M,24
2017,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,M,35
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,INFOCOMM AND SECURITY,M,96
2017,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,M,25
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,F,15
2017,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,F,13
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,FUND MANAGEMENT & ADMINISTRATION,F,25
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,FOOD SCIENCE & NUTRITION,M,6
2017,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,F,32
2017,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,F,78
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,BUSINESS ENTERPRISE IT,F,11
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,F,682
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,M,139
2018,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,M,128
2018,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,M,49
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,M,71
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,M,53
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,F,17
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,ACCOUNTANCY & FINANCE,F,59
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,INFOCOMM AND SECURITY,M,85
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,ORAL HEALTH THERAPY,F,19
2018,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,M,30
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,F,44
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,F,14
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,F,24
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,M,25
2016,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,M,71
2016,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,M,18
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,M,23
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,F,644
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,M,135
2017,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,M,192
2017,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,F,54
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,F,92
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,F,38
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,SOCIAL SCIENCES (SOCIAL WORK),F,62
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,ACCOUNTANCY & FINANCE,F,94
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,F,53
2017,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,SOCIAL SCIENCES (SOCIAL WORK),M,18
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,F,8
2017,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,M,25
2018,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,M,239
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,M,33
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,M,84
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,F,37
2018,S1,SCHOOL OF ENGINEERING,C87,ROBOTICS & MECHATRONICS,M,47
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,F,66
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,F,238
2018,S1,SCHOOL OF DESIGN,C38,SUSTAINABLE ARCHITECTURAL DESIGN,M,42
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,F,27
2018,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,F,10
2018,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,F,11
2018,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,F,83
2016,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,F,47
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,F,59
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,M,37
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,M,13
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,M,56
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,F,18
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,F,82
2016,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,M,242
2016,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,SOCIAL SCIENCES (SOCIAL WORK),M,14
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,F,29
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,F,26
2016,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,F,8
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,FOOD SCIENCE & NUTRITION,M,12
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,M,23
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,M,52
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,M,19
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,M,28
2017,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,M,49
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,PHARMACEUTICAL SCIENCES,F,40
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,F,32
2017,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,F,7
2017,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,F,12
2017,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,F,13
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,M,23
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,INFOCOMM AND SECURITY,F,31
2017,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,F,8
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,INFORMATION TECHNOLOGY,M,116
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,F,33
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,ACCOUNTANCY & FINANCE,M,51
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,M,22
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,SOCIAL SCIENCES (SOCIAL WORK),F,58
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,F,20
2018,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,M,45
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,F,30
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,FOOD SCIENCE & NUTRITION,M,6
2018,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,M,55
2018,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,F,18
2016,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,F,77
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,INFORMATION TECHNOLOGY,M,88
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,SPORT & WELLNESS MANAGEMENT,M,30
2016,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,F,19
